Company Name,Website,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Primary SIC Code,Executive Ethnicity,Executive Gender,Random_number
First Christian Church,Fcctulsa.Org,Michael,Murphy,226 W Canadian Ave,Vinita,OK,74301,866107,Western Europe,Male,5.11475E-06
Allenville Community Baptist,Allenvillebaptistchurch.Org,David,Eisley,6597 Hilltop Rd,Oshkosh,WI,54904,866107,Western Europe,Male,0.000012105
New Centerville Church Of God,Feed.Voodoo.Com,,,3719 Copper Kettle Hwy,Rockwood,PA,15557,866107,Uncoded,,3.23117E-05
Central Baptist Church,Worshipatcentral.Org,Richard,Gay Jr,2015 Pennington Rd,Ewing,NJ,8618,866107,Uncoded,Male,5.85842E-05
Big Bend Presbyterian Church,Bigbendchurch.Com,,,10944 W Highway 44,Rapid City,SD,57702,866107,Uncoded,,6.34365E-05
St Stephen's Episcopal Church,Ststephens-Seattle.Org,Stephanie E,Parker,4805 NE 45th St,Seattle,WA,98105,866107,Western Europe,Female,6.75472E-05
Bethel AME Church,Bamec.Org,Stanley,Hearst Sr,512 N Church St,Moorestown,NJ,8057,866107,Western Europe,Male,7.04813E-05
Tree Of Life Ministries Church,Treeoflifemin.Com,Jack,Lepien,7019 State Road 144 N # 1,West Bend,WI,53090,866107,Uncoded,Male,8.88121E-05
Chandler Spanish Seventh-Day,Iglesiadechandler.Org,Renato,Valenzuela,2505 N Dobson Rd,Chandler,AZ,85224,866107,Hispanic,Male,9.55861E-05
Faith Baptist Church,Faithbaptistofmaine.Org,Robert,Henderson,19 Washburn Ln,Skowhegan,ME,4976,866107,Western Europe,Male,9.94612E-05
Unity Church Magnolia,Ucmagnolia.Com,Travis S,Mckamie Iii,92 Highway 79 N,Magnolia,AR,71753,866107,Western Europe,Male,0.000101484
Gethsemane Lutheran Church,Gathertothegarden.Com,Rob,Guenther,1100 Newton Rd,Raleigh,NC,27615,866107,Western Europe,Male,0.000103719
Christian Church Disciples,Okdisciples.Org,Michael,Davison,301 NW 36th St,Oklahoma City,OK,73118,866107,Western Europe,Male,0.000118199
Shiloh Bible Conference,Shilohbibleconference.Com,Jim,Meek,13165 Gestrin Rd,Donnelly,ID,83615,861102,Western Europe,Male,0.000132112
Jefferson Christian School,Jeffersonbaptistchurch.Org,Patty,Abel,15002 Jefferson Highway 99e SE,Jefferson,OR,97352,821103,Not Available,Male,0.000141908
Oak Hills Community Church,Ohccfamily.Org,Joel,Odom,90 Eagle Creek Ranch Blvd,Floresville,TX,78114,866107,Western Europe,Male,0.000167192
Hallelujah Temple,Hallelujahtemple.Com,Astead N,Herndon,1 Dogwood St,Park Forest,IL,60466,866107,Western Europe,Male,0.000167531
First Congregational Chr-St,Firstcongregational.Com,,,Church St,Saint Johnsbury Center,VT,5863,866107,Uncoded,,0.000177824
St Mary's Episcopal Church,St-Marys-Episcopal.Org,George,Stevens,258 Concord St,Newton Lower Falls,MA,2462,866107,Western Europe,Male,0.000178361
Central Church Of Christ,Centralchurchathens.Com,Kerry,Clark,1408 Cream Level Rd,Athens,TX,75752,866107,Western Europe,Male,0.000192481
St Mary's Episcopal Church,Stmarysnorthfield.Org,N P,Schnyder,203 S Main St,Northfield,VT,5663,866107,Western Europe,Female,0.000196022
Temple Baptist Chr G A R B C,Templebaptistomaha.Org,Stan,Manus,2702 N 61st St,Omaha,NE,68104,866107,Western Europe,Male,0.000196903
Grace Memorial Baptist Church,Gracememorialbc.Org,Doug,Meadows,6205 Elmore Rd,Memphis,TN,38134,866107,Western Europe,Male,0.00019866
Good Shepherd Deaf Luth Chr,Goodshepherdofthedeaf.Angelfire.Com,Shirrel,Petzoldt,5859 Elmer Dr,Toledo,OH,43615,866107,Western Europe,,0.000201274
Nashville First Baptist Church,Nashvillefbc.Com,David,Blase,415 N Main St,Nashville,AR,71852,866107,Western Europe,Male,0.000202364
Victory Baptist Church,Vbcbloomfield.Com,Jerel,Clanney,379 N Corwin Rd,Bloomfield,IN,47424,866107,Uncoded,Male,0.000219386
Covenant United Methodist Chr,Covenant-Umc.Org,Mandy,Sayers,20301 Pleasant Ridge Dr,Montgomery Village,MD,20886,866107,Western Europe,Female,0.000223904
Calvary Baptist Church,Calvarybaptisttinley.Com,Tim,Spitsbergen,17430 94th Ct,Tinley Park,IL,60487,866107,Western Europe,Male,0.000225551
Eastminster Presbyterian Chr,Epcknox.Org,Sean,White,4904 Asheville Hwy,Knoxville,TN,37914,866107,Western Europe,Male,0.000229284
St Paul Evangelical,Stpaulcibolo.Com,Jason,Ford,108 S Main St,Cibolo,TX,78108,866107,Western Europe,Male,0.000241306
Trinity Presbyterian Church,Trinitypresbyterianusa.Com,,,136 S Main St,Mayesville,SC,29104,866107,Uncoded,,0.00026511
One Family Chapel,Onefamilychapel.Com,,,19208 S Vermont Ave,Gardena,CA,90248,866107,Uncoded,,0.000269158
Real Life Ministries,Reallifeministries.Com,Jim,Booth,1866 N Cecil Rd,Post Falls,ID,83854,866107,Western Europe,Male,0.000271006
Harei Yeshua,Hareiyeshua.Com,,,14098 Skyway,Magalia,CA,95954,866107,Uncoded,,0.000278468
City Church Of Orlando,Orlandocitychurch.Org,Eugene R,Smith Jr,1711 Orange Blvd,Sanford,FL,32771,866107,Western Europe,Male,0.000280851
Christ Community Mennonite Chr,Ccmc888.Com,Libby,Connley,888 S Roselle Rd,Schaumburg,IL,60193,866107,Western Europe,Female,0.000286153
Thomas United Methodist Church,Umc.Org,Larry,Harlan,216 E Kansas,Thomas,OK,73669,866107,Western Europe,Male,0.000289304
Our Saviour's Lutheran Church,Oursav-Skogdalen.Org,John,Dumke,306 S Main St,Westby,WI,54667,866107,Western Europe,Male,0.000294842
Maple View Mennonite Church,Mapleview.Com,Ernie,Francis,14890 Burton Windsor Rd,Burton,OH,44021,866107,Western Europe,Male,0.000301312
South Side Church Of Christ,Cocsouthside.Org,Jarred,Holloway,3136 Papermill Rd,Winchester,VA,22601,866107,Western Europe,Male,0.000307342
Persian Christian Church,Persianchristianchurch.Org,Jonathan,Nazanin,19620 Vanowen St,Reseda,CA,91335,866107,Uncoded,Male,0.000311114
Revolution Church,Revolution.Church,Jason,Gerdes,125 Union Hill Trl,Canton,GA,30115,866107,Western Europe,Male,0.000313787
103rd Street Chr Of God Corp,103churchofgod.Com,Charles,Gobble,10356 103rd St,Jacksonville,FL,32210,866107,Western Europe,Male,0.000317231
Shepherdstown Lutheran Parish,Shepherdstownlutheranparish.Org,Fred,Soltow,110 N King St,Shepherdstown,WV,25443,866107,Not Available,Male,0.000348126
St Matthew's Episcopal Church,Stmatthewsliverpool.Org,Carrie,Schofield,900 Vine St,Liverpool,NY,13088,866107,Western Europe,Female,0.000350766
Westminster Presbyterian Chr,Wpcgwd.Org,Charles,Elliott,2330 Cokesbury Rd,Greenwood,SC,29649,866107,Western Europe,Male,0.000362805
Mt Sinai Baptist Church,Aol.Com,,,8347 Hanover Grove Blvd,Mechanicsville,VA,23111,866107,Uncoded,,0.000399797
Village Church-Dallas Northway,Thevillagechurch.Net,Steve,Hardin,3877 Walnut Hill Ln,Dallas,TX,75229,866107,Western Europe,Male,0.000403229
Bridge Community Church,Bridgelife360.Com,Ben,Durbin,301 Lore Ln,Park Hills,MO,63601,866107,Western Europe,Male,0.000419136
Franklin Avenue Chr Of Christ,Fscoc.Com,Austin,Banks,431 Franklin Ave,Gretna,LA,70053,866107,Western Europe,Male,0.000419744
St John Evangelical Luth Chr,Stjohnsholbrook.Com,George,Kirkup,1675 Coates Ave,Holbrook,NY,11741,866107,Western Europe,Male,0.000431763
North Kitsap Baptist Church,Nk-Bc.Org,Terry,Tharp,20516 Little Valley Rd NE,Poulsbo,WA,98370,866107,Western Europe,Male,0.000435587
Shiloh Baptist Church,Shilohbaptistwaterloo.Org,,,3525 Sager Ave,Waterloo,IA,50701,866107,Uncoded,,0.000437491
Solid Rock Church,Solidrockchurch.Com,,,198 Sidney St,Rock Hill,SC,29730,866107,Uncoded,,0.000441568
St Johns Baptist Church,Stjohnsmbc.Com,Allen D,Smith,215 S Chicago St,Salina,KS,67401,866107,Western Europe,Male,0.000451528
Praise Power & Prayer Temple,Pppcs.Com,Raymond,Mcmahon,209 Kennedy Rd,Windsor,CT,6095,866107,Western Europe,Male,0.000468859
First Baptist Church-Eastland,Fbceastland.Org,Shawn,Brewer,405 S Seaman St,Eastland,TX,76448,866107,Western Europe,Male,0.00049107
St Luke's Episcopal Church,Stlukes.Dioms.Org,Thomas H,Fanning,104 N College St,Brandon,MS,39042,866107,Western Europe,Male,0.000497533
Tabernacle Baptist Church,Tabernaclecharlotte.Org,,,1431 Broad St,Selma,AL,36701,866107,Uncoded,,0.000499361
Abundant Life Church Of God,Abundantlifecog.Net,,,7705 S Exchange Ave,Chicago,IL,60649,866107,Uncoded,,0.000504958
Faith Bible Baptist Church,Fbbc.Info,Timothy F,Goodman,232 N Mccord Rd,Toledo,OH,43615,866107,Western Europe,Male,0.000518654
Christ Evangelical Lutheran,Christ-In-Heath.Org,William,Zam,1021 Tiffin Ave,Sandusky,OH,44870,866107,Uncoded,Male,0.000521738
Calvary Baptist Church,Webbervillechurch.Org,Scott,Gardziella,500 N Howard,Webberville,MI,48892,866107,Uncoded,Male,0.000522248
Family Life Ctr,Myfamilylifecenter.Com,,,2323 53rd St SE,Auburn,WA,98092,866107,Uncoded,,0.000535773
Sycamore Baptist Church,Sycamorebaptist.Net,Don,Washam,3146 S Golden Ave,Springfield,MO,65807,866107,Western Europe,Male,0.000536322
Church Of Christ,Churches-Of-Christ.Net,David,Howard,288 County Road 61,Granby,CO,80446,866107,Western Europe,Male,0.000543764
Wesley Memorial United Mthdst,Wesleymemorialumc.Org,Gerald E,Casson,225 Princeton Rd,Johnson City,TN,37601,866107,Western Europe,Male,0.000553864
Moscow Seventh-Day Adventist,Moscowadventist.Org,Stan,Hudson,1015 W C St,Moscow,ID,83843,866107,Western Europe,Male,0.000557125
Grace Bible Church,Rightlydividing.Org,Thomas,Bruscha,13630 Common Rd,Warren,MI,48088,866107,Uncoded,Male,0.000557288
Unity Church Of Light,Unitychurchoflight.Org,Le,Remmington,2809 Yale Blvd,Saint Charles,MO,63301,866107,Western Europe,Female,0.000575676
Harvest AME,Harvestame.Org,Patricia S,Wallace,825 Larrimore Rd,Pahokee,FL,33476,866107,Western Europe,Female,0.000585866
St John's Episcopal Church,Stjohnshv.Org,Eric,Bond,1333 Welsh Rd,Huntingdon Valley,PA,19006,866107,Western Europe,Male,0.000591664
Beaming Hope Church Inc,Beaminghope.Org,Joseph,Mitsch,2997 Tyrone Blvd N,Saint Petersburg,FL,33710,866107,Western Europe,Male,0.000607043
Northbrook Baptist Church,Northbrookbaptist.Church,Eric,Schumacher,1700 Boyson Rd NE,Cedar Rapids,IA,52402,866107,Western Europe,Male,0.000620579
First Church Of God,Churchofgod.Cc,Darrell,Hendrickson,1701 Central Ave,Dodge City,KS,67801,866107,Western Europe,Male,0.000630622
Peace Lutheran Church,Peaceingranger.Org,Steven M,Mischke,16791 Cleveland Rd,Granger,IN,46530,866107,Western Europe,Male,0.00063378
Marengo United Methodist Chr,Marengo-Umc.Org,Howard J,Newcomb,119 E Washington St,Marengo,IL,60152,866107,Western Europe,Male,0.000639803
Paulding Church Of Christ,Pauldingcofc.Com,Christopher,Reno,345 Klingler Rd,Paulding,OH,45879,866107,Western Europe,Male,0.000640341
